date,体重_kg,筋肉量_kg,体脂肪量_kg,体脂肪率,カロリー収支_kcal,摂取カロリー_kcal,消費カロリー_kcal,基礎代謝_kcal,活動カロリー_kcal,歩数,睡眠時間_hours,体表温度_celsius,体表温変化_celsius,体表温偏差_celsius,体表温トレンド_celsius,タンパク質_g,糖質_g,食物繊維_g,脂質_g,oura_total_calories,oura_estimated_basal,total_calories_updated,calculation_method
2025-06-01,,,,,,,1889.0,1530.0,359.0,16084.0,0.0,,,,,,,,,,,1889.0,RENPHO+Oura
2025-06-02,,,,,,,1415.0,1409.0,6.0,488.0,0.0,,,,,,,,,,,1415.0,RENPHO+Oura
2025-06-03,,,,,,,1673.0,1489.0,184.0,5762.0,0.0,,,,,,,,,,,1673.0,RENPHO+Oura
2025-06-04,64.9,52.7,12.2,18.8,,,1590.0,1508.0,82.0,2957.0,0.0,,,,,,,,,,,1590.0,RENPHO+Oura
2025-06-05,,,,,,,1657.0,1468.0,188.0,5575.0,0.0,,,,,,,,,,,1657.0,RENPHO+Oura
2025-06-06,65.6,53.0,12.7,19.3,,,1704.0,1503.0,201.0,6901.0,0.0,,,,,,,,,,,1704.0,RENPHO+Oura
2025-06-07,65.2,52.8,12.4,19.0,,,1762.0,1510.0,252.0,9408.0,0.0,,,,,,,,,,,1762.0,RENPHO+Oura
2025-06-08,65.1,52.8,12.3,18.9,,,1722.0,1510.0,212.0,9493.0,0.0,,,,,,,,,,,1722.0,RENPHO+Oura
2025-06-09,65.1,52.8,12.3,18.9,,,1709.0,1507.0,202.0,6711.0,0.0,,,,,,,,,,,1709.0,RENPHO+Oura
2025-06-10,64.2,52.4,11.7,18.3,,,1539.0,1505.0,34.0,1526.0,0.0,,,,,,,,,,,1539.0,RENPHO+Oura
2025-06-11,64.3,52.5,11.8,18.4,,,1742.0,1503.0,240.0,7619.0,0.0,,,,,,,,,,,1742.0,RENPHO+Oura
2025-06-12,64.7,52.6,12.1,18.7,,,1620.0,1505.0,115.0,3987.0,0.0,,,,,,,,,,,1620.0,RENPHO+Oura
2025-06-13,64.2,52.4,11.7,18.3,,,1648.0,1502.0,146.0,4996.0,0.0,,,,,,,,,,,1648.0,RENPHO+Oura
2025-06-14,64.4,52.5,11.9,18.5,,,1885.0,1503.0,382.0,11649.0,0.0,,,,,,,,,,,1885.0,RENPHO+Oura
